enrolled
24
50
18
40
44
27
20
38
24
27
30
20
40
50
30
35
28
19
3
20
20
34
22
7
21
20
38
20
20
10
10
17
20
36
40
41
20
13
41
26
20
18
66
11
19
20
68
19
35
8
24
43
8
20
20
47
8
20
17
37
32
22
15
26
25
27
20
27
15
60
17
13
30
8
20
21
20
17
31
39
9
21
26
34
52
34
70
25
27
33
26
16
21
20
50
77
33
38
27
45
41
36
43
38
23
45
48
29
45
47
24
18
20
20
22
38
23
41
40
29
43
19
46
37
26
19
13
31
78
32
28
50
46
32
45
18
62
29
40
31
15
28
30
22
9
38
31
33
38
30
36
30
54
20
20
54
51
10
24
16
26
25
47
51
41
41
20
11
3
kg,enrolled
СДЯ №1,24
СДЯ №12 Бебеландия,47
ДГ №3 Детелина,3
ДГ №2 Звънче (с яслени групи),11
ДГ №11 Мики Маус (с яслени групи),50
ДГ №70 Пролет (с яслени групи),20
ДГ №8 Проф. д-р Елка Петрова (с яслени групи),38
ДГ №172 София (с яслени групи),38
ДГ №200 Цветен рай (с яслени групи),27
ДГ №199 Сарагоса (с яслени групи),20
ДГ №10 Чебурашка (с яслени групи),24
ДГ №198 Косе Босе (с яслени групи),30
ДГ №1  (с яслени групи),20
ДГ №195 Братя Мормареви - сграда ул. Победа 3,27
ДГ №191 Приказка без край - сграда ул. Васил Друмев,28
ДГ №185 Звездичка (с яслени групи),50
ДГ №181 Радост,3
ДГ №179 Синчец (с яслени групи),34
ДГ №180 Зайченцето бяло (с яслени групи),20
ДГ №178 Сребърно копитце - сграда 2,20
ДГ №189 Сто усмивки (с яслени групи),20
"ДГ №188 Вяра, Надежда, Любов (с яслени групи)",40
ДГ №186 Деница (с яслени групи),35
ДГ №184 Мечо Пух (с яслени групи),19
ДГ №187 Жар птица (с яслени групи),30
ДГ №176 Зорница (с яслени групи),7
ДГ №176 Зорница - филиал с. Волуяк,21
ДГ №175 Слънчеви лъчи (с яслени групи),22
ДГ №171 Свобода (с яслени групи),41
ДГ №170 Пчелица (с яслени групи),20
ДГ №170 Пчелица - сграда 2,20
ДГ №164 Зорница (с яслени групи),20
ДГ №161 Ласка (с яслени групи),10
"ДГ №161 Ласка - сграда 2 ж.к. Овча купел, бл. 611",10
ДГ №160 Драгалевци (с яслени групи),17
ДГ №158 Зора (с яслени групи),20
ДГ №157 Детска стряха (с яслени групи),36
ДГ №152 Люляче (с яслени групи),40
ДГ №151 Леда Милева (с яслени групи),20
ДГ №147 Славейче (с яслени групи),13
ДГ №144 Ханс Кристиан Андерсен (с яслени групи),41
ДГ №140 Зорница (с яслени групи),26
ДГ №139 Панорама (с яслени групи),20
ДГ №138 Приятели (с яслени групи),18
ДГ №137 Калина Малина - сграда ул. Александър Михов 25,66
СДЯ №128 Слънце,68
