enrolled2015,enrolled2016,enrolled2017,kg,region
na,na,na,"ПГ в 29 СУ ""Кузман Шапкарев"" (целодневна организация)",Сердика
53,35,11,ДГ №28 Ян Бибиян (с яслени групи),Младост
na,na,na,"ПГ в 28 СУ ""Алеко Kонстантинов"" (полудневна организация)",Красна поляна
na,35,18,СДЯ №28,Средец
na,na,na,"ПГ в 27 СУ ""Георги Kараславов"" (целодневна организация)",Люлин
na,na,na,"ПГ в 27 СУ ""Георги Kараславов"" (полудневна организация)",Люлин
30,33,13,ДГ №27 Детска китка - сграда ул. Иван Кулин,Надежда
na,na,na,ДГ №27 Детска китка (с яслени групи),Надежда
na,na,na,ДГ №25 Изворче - почасова организация,Банкя
29,30,20,ДГ №26 Калина (с яслени групи),Младост
na,37,18,ДГ №25 Изворче - сграда 2,Банкя
54,na,na,ДГ №25 Изворче (с яслени групи),Банкя
na,na,na,"ПГ в 25 ОУ ""Д-р Петър Берон"" (полудневна организация)",Красно село
35,20,na,ДГ №23 Здраве (с яслени групи),Изгрев
48,30,10,ДГ №24 Надежда (с яслени групи),Надежда
na,53,11,СДЯ №23 Ралица,Лозенец
na,49,15,СДЯ №21 Бон-Бон,Триадица
29,na,na,ДГ №21 Ежко Бежко (с яслени групи),Искър
84,60,24,ДГ №21 Ежко Бежко - сграда 2,Искър
52,20,na,ДГ №22 Великденче (с яслени групи),Люлин
na,na,na,"ПГ в 21 СУ ""Христо Ботев"" (целодневна организация)",Лозенец
2,na,na,ДГ №19 Света София - почасова организация,Лозенец
51,21,na,ДГ №20 Жасминов парк,Подуяне
46,na,na,ДГ №19 Света София,Лозенец
na,na,5,ДГ №18 Детски свят - сграда 2,Средец
27,24,12,ДГ №18 Детски свят (с яслени групи),Средец
na,na,na,ДГ №16 Приказен свят - почасова организация,Студентски
31,43,5,ДГ №17 Мечо Пух (с яслени групи),Младост
50,na,na,ДГ №16 Приказен свят (с яслени групи),Студентски
na,40,na,ДГ №16 Приказен свят - сграда 2,Студентски
na,na,na,"ПГ в 16 ОУ ""Райко Жинзифов"" (полудневна организация)",Надежда
57,16,24,ДГ №15 Чучулига (с яслени групи),Надежда
na,na,na,"ПГ в 15 СУ ""Адам Мицкевич"" (полудневна организация)",Надежда
na,na,na,"ПГ в 14 СУ ""Проф. Асен Златаров"" (полудневна организация)",Сердика
51,26,15,ДГ №14 Карлсон (с яслени групи),Младост
54,49,29,ДГ №13 Калинка (с яслени групи),Искър
55,30,16,ДГ №12 Лилия (с яслени групи),Студентски
39,41,na,ДГ №6 Вълшебен свят (с яслени групи),Надежда
na,na,na,ДГ №6 Вълшебен свят - сграда 2,Надежда
20,na,na,ДГ №5 Надежда - сграда Обеля 2,Връбница
4,na,na,ДГ №5 Надежда - сграда Връбница 2,Връбница
11,na,na,ДГ №5 Надежда - сграда Обеля 1,Връбница
21,na,0,ДГ №5 Надежда (с яслени групи),Връбница
na,na,na,ДГ №3 Детелина - Експериментална сграда,Панчарево
na,na,na,"ПГ в 4 ОУ ""Проф. Джон Атанасов"" (полудневна организация)",Искър
39,na,na,ДГ №4 Слънчо,Витоша
na,na,na,"ПГ в 5 ОУ ""Иван Вазов"" (целодневна организация)",Витоша
43,5,na,ДГ №3 Детелина,Панчарево
28,20,na,ДГ №1  (с яслени групи),Възраждане
94,11,na,ДГ №2 Звънче (с яслени групи),Триадица
