born,kg,places,region,tail,webpage
2018,ДГ №7 Детелина (с яслени групи),16,Триадица,Общи,https://kg.sofia.bg/isodz/dz/29
2016,ДГ №140 Зорница (с яслени групи),0,Кремиковци,Соп,https://kg.sofia.bg/isodz/dz/282
2016,ДГ №140 Зорница (с яслени групи),0,Кремиковци,Хронични,https://kg.sofia.bg/isodz/dz/282
2016,ДГ №140 Зорница (с яслени групи),0,Кремиковци,Социални,https://kg.sofia.bg/isodz/dz/282
2016,ДГ №140 Зорница (с яслени групи),0,Кремиковци,Общи,https://kg.sofia.bg/isodz/dz/282
2016,ДГ №5 Надежда - сграда Връбница 2,2,Връбница,Соп,https://kg.sofia.bg/isodz/dz/210
2016,ДГ №5 Надежда - сграда Връбница 2,2,Връбница,Хронични,https://kg.sofia.bg/isodz/dz/210
2016,ДГ №5 Надежда - сграда Връбница 2,4,Връбница,Социални,https://kg.sofia.bg/isodz/dz/210
2016,ДГ №5 Надежда - сграда Връбница 2,10,Връбница,Общи,https://kg.sofia.bg/isodz/dz/210
2016,ДГ №10 Чебурашка (с яслени групи),8,Студентски,Общи,https://kg.sofia.bg/isodz/dz/172
2016,ДГ №141 Славейкова поляна,2,Лозенец,Соп,https://kg.sofia.bg/isodz/dz/130
2016,ДГ №141 Славейкова поляна,3,Лозенец,Хронични,https://kg.sofia.bg/isodz/dz/130
2016,ДГ №141 Славейкова поляна,7,Лозенец,Социални,https://kg.sofia.bg/isodz/dz/130
2016,ДГ №141 Славейкова поляна,15,Лозенец,Общи,https://kg.sofia.bg/isodz/dz/130
2017,ДГ №7 Детелина (с яслени групи),0,Триадица,Соп,https://kg.sofia.bg/isodz/dz/29
2017,ДГ №7 Детелина (с яслени групи),0,Триадица,Хронични,https://kg.sofia.bg/isodz/dz/29
2017,ДГ №7 Детелина (с яслени групи),0,Триадица,Социални,https://kg.sofia.bg/isodz/dz/29
2017,ДГ №7 Детелина (с яслени групи),0,Триадица,Общи,https://kg.sofia.bg/isodz/dz/29
2018,ДГ №158 Зора (с яслени групи),0,Илинден,Соп,https://kg.sofia.bg/isodz/dz/61
2018,ДГ №158 Зора (с яслени групи),0,Илинден,Хронични,https://kg.sofia.bg/isodz/dz/61
2018,ДГ №158 Зора (с яслени групи),4,Илинден,Социални,https://kg.sofia.bg/isodz/dz/61
2018,ДГ №158 Зора (с яслени групи),8,Илинден,Общи,https://kg.sofia.bg/isodz/dz/61
2016,ДГ №7 Детелина (с яслени групи),6,Триадица,Соп,https://kg.sofia.bg/isodz/dz/29
2016,ДГ №7 Детелина (с яслени групи),4,Триадица,Хронични,https://kg.sofia.bg/isodz/dz/29
2016,ДГ №7 Детелина (с яслени групи),14,Триадица,Социални,https://kg.sofia.bg/isodz/dz/29
2016,ДГ №7 Детелина (с яслени групи),31,Триадица,Общи,https://kg.sofia.bg/isodz/dz/29
2016,ДГ №147 Славейче (с яслени групи),2,Кремиковци,Соп,https://kg.sofia.bg/isodz/dz/189
2016,ДГ №147 Славейче (с яслени групи),3,Кремиковци,Хронични,https://kg.sofia.bg/isodz/dz/189
2016,ДГ №147 Славейче (с яслени групи),5,Кремиковци,Социални,https://kg.sofia.bg/isodz/dz/189
2016,ДГ №147 Славейче (с яслени групи),10,Кремиковци,Общи,https://kg.sofia.bg/isodz/dz/189
2016,ДГ №147 Славейче - филиал с. Яна,2,Кремиковци,Соп,https://kg.sofia.bg/isodz/dz/186
2016,ДГ №147 Славейче - филиал с. Яна,3,Кремиковци,Хронични,https://kg.sofia.bg/isodz/dz/186
2016,ДГ №147 Славейче - филиал с. Яна,4,Кремиковци,Социални,https://kg.sofia.bg/isodz/dz/186
2016,ДГ №147 Славейче - филиал с. Яна,8,Кремиковци,Общи,https://kg.sofia.bg/isodz/dz/186
2016,ДГ №158 Зора (с яслени групи),2,Илинден,Соп,https://kg.sofia.bg/isodz/dz/61
2016,ДГ №158 Зора (с яслени групи),0,Илинден,Хронични,https://kg.sofia.bg/isodz/dz/61
2016,ДГ №158 Зора (с яслени групи),0,Илинден,Социални,https://kg.sofia.bg/isodz/dz/61
2016,ДГ №158 Зора (с яслени групи),1,Илинден,Общи,https://kg.sofia.bg/isodz/dz/61
2017,ДГ №158 Зора (с яслени групи),0,Илинден,Соп,https://kg.sofia.bg/isodz/dz/61
2017,ДГ №158 Зора (с яслени групи),3,Илинден,Хронични,https://kg.sofia.bg/isodz/dz/61
2017,ДГ №158 Зора (с яслени групи),4,Илинден,Социални,https://kg.sofia.bg/isodz/dz/61
2017,ДГ №158 Зора (с яслени групи),8,Илинден,Общи,https://kg.sofia.bg/isodz/dz/61
2016,ДГ №157 Детска стряха (с яслени групи),0,Нови Искър,Соп,https://kg.sofia.bg/isodz/dz/33
2016,ДГ №157 Детска стряха (с яслени групи),0,Нови Искър,Хронични,https://kg.sofia.bg/isodz/dz/33
2016,ДГ №157 Детска стряха (с яслени групи),0,Нови Искър,Социални,https://kg.sofia.bg/isodz/dz/33
